title,year,duration,genre,rating,movie_url
Before Sunrise,1995,1h 41m,"Drama,Romance",8.1,https://www.imdb.com/title/tt0112471/
Catch Me If You Can,2002,2h 21m,"Biography,Crime,Drama",8.1,https://www.imdb.com/title/tt0264464/
Before Sunset,2004,1h 20m,"Drama,Romance",8.1,https://www.imdb.com/title/tt0381681/
Salinui chueok,2003,2h 11m,"Crime,Drama,Mystery",8.1,https://www.imdb.com/title/tt0353969/
The Gold Rush,1925,1h 35m,"Adventure,Comedy,Drama",8.2,https://www.imdb.com/title/tt0015864/
Hotel Rwanda,2004,2h 1m,"Biography,Drama,History",8.1,https://www.imdb.com/title/tt0395169/
Into the Wild,2007,2h 28m,"Adventure,Biography,Drama",8.1,https://www.imdb.com/title/tt0758758/
Million Dollar Baby,2004,2h 12m,"Drama,Sport",8.1,https://www.imdb.com/title/tt0405159/
The General,1926,1h 7m,"Action,Adventure,Comedy",8.2,https://www.imdb.com/title/tt0017925/
Gone with the Wind,1939,3h 58m,"Drama,History,Romance",8.2,https://www.imdb.com/title/tt0031381/
Tôkyô monogatari,1953,2h 16m,Drama,8.2,https://www.imdb.com/title/tt0046438/
The Treasure of the Sierra Madre,1948,2h 6m,"Adventure,Drama,Western",8.2,https://www.imdb.com/title/tt0040897/
Le salaire de la peur,1953,2h 11m,"Adventure,Drama,Thriller",8.2,https://www.imdb.com/title/tt0046268/
Rashômon,1950,1h 28m,"Crime,Drama,Mystery",8.2,https://www.imdb.com/title/tt0042876/
The Bridge on the River Kwai,1957,2h 41m,"Adventure,Drama,War",8.2,https://www.imdb.com/title/tt0050212/
Smultronstället,1957,1h 31m,"Drama,Romance,After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.,After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.,After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",8.2,https://www.imdb.com/title/tt0050986/
The Great Escape,1963,2h 52m,"Adventure,Drama,History",8.2,https://www.imdb.com/title/tt0057115/
Yôjinbô,1961,1h 50m,"Action,Drama,Thriller",8.2,https://www.imdb.com/title/tt0055630/
The Elephant Man,1980,2h 4m,"Biography,Drama",8.2,https://www.imdb.com/title/tt0080678/
Chinatown,1974,2h 10m,"Drama,Mystery,Thriller",8.2,https://www.imdb.com/title/tt0071315/
Ran,1985,2h 42m,"Action,Drama,War",8.2,https://www.imdb.com/title/tt0089881/
Unforgiven,1992,2h 10m,"Drama,Western",8.2,https://www.imdb.com/title/tt0105695/
Raging Bull,1980,2h 9m,"Biography,Drama,Sport",8.2,https://www.imdb.com/title/tt0081398/
Casino,1995,2h 58m,"Crime,Drama",8.2,https://www.imdb.com/title/tt0112641/
Trainspotting,1996,1h 33m,Drama,8.2,https://www.imdb.com/title/tt0117951/
Bacheha-Ye aseman,1997,1h 29m,"Drama,Family,Sport",8.2,https://www.imdb.com/title/tt0118849/
The Sixth Sense,1999,1h 47m,"Drama,Mystery,Thriller",8.2,https://www.imdb.com/title/tt0167404/
The Truman Show,1998,1h 43m,"Comedy,Drama",8.2,https://www.imdb.com/title/tt0120382/
